record_date,machine_id,machine_name,page_status,detail_link_count,unique_detail_links,parsed_rows,duplicate_link_count
2026-08-11,1233,eガールズ＆パンツァー3LAH1,ok,1,1,1,0
2026-08-11,866,シン・エヴァンゲリオン １２９ ＬＴ ｖｅｒ．,ok,1,1,1,0
2026-08-11,1619,Ｐ ＦＡＩＲＹ ＴＡＩＬ 超一夜Ｖｅｒ．ＦＱＹ,ok,1,1,1,0
2026-08-11,1470,Ｐ Ｒｅ：ゼロから始めるｓｅａｓｏｎ２ Ａ１０,ok,1,1,1,0
2026-08-11,1622,Ｐうまい棒２Ｖ３,ok,1,1,1,0
2026-08-11,1490,Ｐえとたま２ＳＥ,ok,1,1,1,0
2026-08-11,714,Ｐとある科学の超電磁砲ＦＳＢ－Ｖ,ok,1,1,1,0
2026-08-11,764,Ｐとある魔術の禁書目録２ＪＭＺ,ok,1,1,1,0
2026-08-11,1508,Ｐにゃんこ大戦争 らいとばーじょん,ok,1,1,1,0
2026-08-11,1621,ＰウルトラマンメビウスＭ４,ok,1,1,1,0
2026-08-11,1414,Ｐゴジラ対エヴァンゲリオン２ＬＶ,ok,1,1,1,0
2026-08-11,1635,Ｐシン・エヴァンゲリオンＸ,ok,1,1,1,0
2026-08-11,1229,Ｐスーパー海物語ＩＮ沖縄６ＬＴＰ,ok,28,28,28,0
2026-08-11,1009,Ｐデジハネ北斗の拳慈母ＳＳＰＣ,ok,1,1,1,0
2026-08-11,1610,ＰハネモノファミリースタジアムＭＤ,ok,1,1,1,0
2026-08-11,538,ＰバイオハザードＲＥ２Ｌ９ＹＺ４,ok,1,1,1,0
2026-08-11,1609,ＰファインプレーＨ３,ok,1,1,1,0
2026-08-11,1630,ＰフィーバーうたわれるものＺ,ok,1,1,1,0
2026-08-11,1780,ＰフィーバーブルーロックＹ,ok,2,2,2,0
2026-08-11,127,Ｐフィーバー戦姫絶唱シンフォギア 黄金絶唱Ｎ,ok,1,1,1,0
2026-08-11,1005,Ｐフィーバー機動戦士ガンダムユニコーン２,ok,1,1,1,0
2026-08-11,562,Ｐフィーバー炎炎ノ消防隊ＹＲ,ok,1,1,1,0
2026-08-11,1343,Ｐラブ嬢３Ｌ２ＹＲ３,ok,1,1,1,0
2026-08-11,1227,Ｐルパン三世１４Ｌ０ＹＵ１,ok,1,1,1,0
2026-08-11,711,Ｐ中森明菜・歌姫伝説愛ＫＤ－ＮＳ,ok,1,1,1,0
