machine_number,machine_id,machine_name,normal_odds,denominator,observed_days,zero_days,zero_day_rate,current_zero_streak,longest_zero_streak,total_big_hits,mean_big_hits,median_big_hits,first_date,last_date
0262,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,約1/199.9,199.9,7,1,14.3,0,1,131,18.71,16,2026-08-13,2026-08-21
0266,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,約1/199.9,199.9,7,1,14.3,0,1,132,18.86,14,2026-08-13,2026-08-21
0267,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,1,14.3,0,1,88,12.57,13,2026-08-13,2026-08-21
0268,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,1,14.3,0,1,60,8.57,5,2026-08-13,2026-08-21
0270,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,1,14.3,0,1,61,8.71,8,2026-08-13,2026-08-21
0271,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,1,14.3,0,1,50,7.14,3,2026-08-13,2026-08-21
0273,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,1,14.3,0,1,57,8.14,7,2026-08-13,2026-08-21
0277,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,1,14.3,0,1,118,16.86,18,2026-08-13,2026-08-21
0279,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,1,14.3,0,1,98,14,13,2026-08-13,2026-08-21
0283,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,1,14.3,0,1,95,13.57,9,2026-08-13,2026-08-21
0284,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,1,14.3,0,1,75,10.71,13,2026-08-13,2026-08-21
0287,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,1,14.3,0,1,90,12.86,7,2026-08-13,2026-08-21
0306,1740,ｅ七つの大罪３ＧＦＥＡ,1/319.7,319.7,7,1,14.3,0,1,29,4.14,4,2026-08-13,2026-08-21
0311,1503,ｅリコリス・リコイルＭ３,1/259.7,259.7,7,1,14.3,0,1,144,20.57,13,2026-08-13,2026-08-21
0312,1503,ｅリコリス・リコイルＭ３,1/259.7,259.7,7,1,14.3,0,1,77,11,6,2026-08-13,2026-08-21
0319,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ,図柄 約1/399.9,399.9,7,1,14.3,0,1,96,13.71,14,2026-08-13,2026-08-21
0320,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ,図柄 約1/399.9,399.9,7,1,14.3,0,1,98,14,7,2026-08-13,2026-08-21
0321,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ,図柄 約1/399.9,399.9,7,1,14.3,0,1,124,17.71,17,2026-08-13,2026-08-21
0323,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ,図柄 約1/399.9,399.9,7,1,14.3,0,1,123,17.57,7,2026-08-13,2026-08-21
0324,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ,図柄 約1/399.9,399.9,7,1,14.3,0,1,129,18.43,9,2026-08-13,2026-08-21
0326,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ,図柄 約1/399.9,399.9,7,1,14.3,0,1,126,18,13,2026-08-13,2026-08-21
0327,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ,図柄 約1/399.9,399.9,7,1,14.3,0,1,89,12.71,8,2026-08-13,2026-08-21
0329,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ,図柄 約1/399.9,399.9,7,1,14.3,0,1,162,23.14,21,2026-08-13,2026-08-21
0337,1165,ｅ牙狼１２ＸＸ－ＭＪ,図柄 約1/437,437.0,7,1,14.3,0,1,68,9.71,4,2026-08-13,2026-08-21
0342,1165,ｅ牙狼１２ＸＸ－ＭＪ,図柄 約1/437,437.0,7,1,14.3,0,1,60,8.57,3,2026-08-13,2026-08-21
0355,1614,ｅ東京喰種ＭＷ,大当り 約1/349.9,349.9,7,1,14.3,0,1,112,16,17,2026-08-13,2026-08-21
0361,1630,ＰフィーバーうたわれるものＺ,1/199.9,199.9,7,1,14.3,0,1,36,5.14,6,2026-08-13,2026-08-21
0371,104,Ｐ新世紀エヴァンゲリオン１５ 未来への咆哮,約1/319.7,319.7,7,1,14.3,0,1,30,4.29,3,2026-08-13,2026-08-21
0398,1702,ｅ必殺仕事人ⅥＭ２,約1/319.9,319.9,7,1,14.3,0,1,46,6.57,7,2026-08-13,2026-08-21
0402,1353,ｅ北斗の拳１１暴凶星ＳＨＥＦ,1/399.8,399.8,7,1,14.3,0,1,36,5.14,4,2026-08-13,2026-08-21
0406,1397,ｅ新世紀エヴァンゲリオン１７,図柄 約1/399.9,399.9,7,1,14.3,0,1,31,4.43,4,2026-08-13,2026-08-21
0156,714,Ｐとある科学の超電磁砲ＦＳＢ－Ｖ,1/239.2,239.2,7,0,0.0,0,0,73,10.43,9,2026-08-13,2026-08-21
0159,1359,ＰＡ野生の王国６Ｎ２,1/99.9,99.9,7,0,0.0,0,0,105,15,15,2026-08-13,2026-08-21
0163,1227,Ｐルパン三世１４Ｌ０ＹＵ１,1/100.1,100.1,7,0,0.0,0,0,91,13,12,2026-08-13,2026-08-21
0166,1779,ｅ／押忍番長漢の頂／Ａ０３,1/99.9,99.9,7,0,0.0,0,0,225,32.14,36,2026-08-13,2026-08-21
0167,1196,ＰＡアズールレーンＴＨＥ ＡＮＩＭＡＴＩＯＮ７９Ｖｅｒ,約1/79.9,79.9,7,0,0.0,0,0,84,12,8,2026-08-13,2026-08-21
0169,1607,Ｐ魔法少女まどか☆マギカ３ＭＡＪ１,1/99.9,99.9,7,0,0.0,0,0,106,15.14,13,2026-08-13,2026-08-21
0190,1610,ＰハネモノファミリースタジアムＭＤ,羽根モノ／役物,,7,0,0.0,0,0,94,13.43,10,2026-08-13,2026-08-21
0191,1611,ｅ化物語２ＧＳＥＤ,約1/99.9,99.9,7,0,0.0,0,0,59,8.43,5,2026-08-13,2026-08-21
0194,1009,Ｐデジハネ北斗の拳慈母ＳＳＰＣ,約1/79.9,79.9,7,0,0.0,0,0,209,29.86,22,2026-08-13,2026-08-21
0195,1779,ｅ／押忍番長漢の頂／Ａ０３,1/99.9,99.9,7,0,0.0,0,0,163,23.29,23,2026-08-13,2026-08-21
0197,1430,ＰＡ乗物娘２Ｎ,1/77.1,77.1,7,0,0.0,0,0,75,10.71,10,2026-08-13,2026-08-21
0200,1170,ＰＡフィーバー戦姫絶唱シンフォギア４ＡＲ,約1/99.9,99.9,7,0,0.0,0,0,50,7.14,7,2026-08-13,2026-08-21
0201,495,ＰＡフィーバーパワフルＲ,1/99.9,99.9,7,0,0.0,0,0,96,13.71,15,2026-08-13,2026-08-21
0207,1229,Ｐスーパー海物語ＩＮ沖縄６ＬＴＰ,約1/319.6,319.6,7,0,0.0,0,0,61,8.71,8,2026-08-13,2026-08-21
0217,904,ＰＡ大海物語５ＨＬＤ,約1/99.9,99.9,7,0,0.0,0,0,119,17,13,2026-08-13,2026-08-21
0219,904,ＰＡ大海物語５ＨＬＤ,約1/99.9,99.9,7,0,0.0,0,0,171,24.43,18,2026-08-13,2026-08-21
0220,904,ＰＡ大海物語５ＨＬＤ,約1/99.9,99.9,7,0,0.0,0,0,146,20.86,19,2026-08-13,2026-08-21
0224,102,ＰＡ大海物語５ＡＲＢＣ,1/99.9,99.9,7,0,0.0,0,0,89,12.71,12,2026-08-13,2026-08-21
0246,1229,Ｐスーパー海物語ＩＮ沖縄６ＬＴＰ,約1/319.6,319.6,7,0,0.0,0,0,84,12,14,2026-08-13,2026-08-21
0247,1229,Ｐスーパー海物語ＩＮ沖縄６ＬＴＰ,約1/319.6,319.6,7,0,0.0,0,0,86,12.29,9,2026-08-13,2026-08-21
0249,1229,Ｐスーパー海物語ＩＮ沖縄６ＬＴＰ,約1/319.6,319.6,7,0,0.0,0,0,70,10,11,2026-08-13,2026-08-21
0252,1229,Ｐスーパー海物語ＩＮ沖縄６ＬＴＰ,約1/319.6,319.6,7,0,0.0,0,0,97,13.86,13,2026-08-13,2026-08-21
0263,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,約1/199.9,199.9,7,0,0.0,0,0,155,22.14,29,2026-08-13,2026-08-21
0264,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,約1/199.9,199.9,7,0,0.0,0,0,144,20.57,19,2026-08-13,2026-08-21
0282,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,0,0.0,0,0,52,7.43,6,2026-08-13,2026-08-21
0289,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,0,0.0,0,0,88,12.57,10,2026-08-13,2026-08-21
0290,956,ｅ東京喰種Ｗ,図柄 約1/399.9,399.9,7,0,0.0,0,0,113,16.14,11,2026-08-13,2026-08-21
0291,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,約1/199.9,199.9,7,0,0.0,0,0,191,27.29,23,2026-08-13,2026-08-21
0292,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,約1/199.9,199.9,7,0,0.0,0,0,187,26.71,22,2026-08-13,2026-08-21
0293,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,約1/199.9,199.9,7,0,0.0,0,0,156,22.29,20,2026-08-13,2026-08-21
0294,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,約1/199.9,199.9,7,0,0.0,0,0,169,24.14,28,2026-08-13,2026-08-21
0295,1737,ｅソードアート・オンライン アリシゼーションＹＫＪ１１,約1/199.9,199.9,7,0,0.0,0,0,186,26.57,28,2026-08-13,2026-08-21
0318,1561,ｅひきこまり吸血姫の悶々ＦＨＶ,大当り 1/348.5,348.5,7,0,0.0,0,0,58,8.29,6,2026-08-13,2026-08-21
0331,1738,ｅフィーバー機動戦士ガンダムＳＥＥＤ２ｂＦ,図柄 約1/399.9,399.9,7,0,0.0,0,0,106,15.14,14,2026-08-13,2026-08-21
0351,1614,ｅ東京喰種ＭＷ,大当り 約1/349.9,349.9,7,0,0.0,0,0,77,11,8,2026-08-13,2026-08-21
0352,1614,ｅ東京喰種ＭＷ,大当り 約1/349.9,349.9,7,0,0.0,0,0,125,17.86,14,2026-08-13,2026-08-21
0353,1614,ｅ東京喰種ＭＷ,大当り 約1/349.9,349.9,7,0,0.0,0,0,85,12.14,15,2026-08-13,2026-08-21
0354,1614,ｅ東京喰種ＭＷ,大当り 約1/349.9,349.9,7,0,0.0,0,0,61,8.71,4,2026-08-13,2026-08-21
0364,1632,Ｐ／Ｒｅ：ゼロ鬼がかりｖｅｒ／Ｌ０７,1/199.8,199.8,7,0,0.0,0,0,64,9.14,10,2026-08-13,2026-08-21
0411,1397,ｅ新世紀エヴァンゲリオン１７,図柄 約1/399.9,399.9,7,0,0.0,0,0,102,14.57,16,2026-08-13,2026-08-21
